"Rubro";"cod_rub"
"PAPAS CONGELADAS";"Rubro1"
"PASTAS CONGELADAS";"Rubro2"
"TERMOS";"Rubro3"
"PIZZA CONGELADA";"Rubro4"
"FRUTAS SECAS";"Rubro5"
"ALIMENTOS LIQUIDOS";"Rubro6"
"CARNE DE CORDERO";"Rubro7"
"TOCADOR";"Rubro8"
"PEGAMENTOS";"Rubro9"
"ACCESORIOS DE TOCADOR";"Rubro10"
"PESCADO CONGELADO";"Rubro11"
"ACETOS Y SALSAS";"Rubro12"
"GRASAS";"Rubro13"
"PURE";"Rubro14"
"VERDURAS Y LEGUMBRES CONGELADAS";"Rubro15"
"CACAO";"Rubro16"
"VARIOS";"Rubro17"
"CARBON Y BRIQUETAS";"Rubro18"
"VINAGRES";"Rubro19"
"ARTICULOS P/BEBE";"Rubro20"
"SOPAS";"Rubro21"
"Cigarrillos";"Rubro22"
"POSTRES";"Rubro23"
"LEGUMBRES SECAS";"Rubro24"
"ALIMENTOS BALANCEADOS";"Rubro25"
"MATE COCIDO";"Rubro26"
"LECHE EN POLVO";"Rubro27"
"EDULCORANTES";"Rubro28"
"CREMA DE LECHE";"Rubro29"
"ACCESORIOS VARIOS";"Rubro30"
"FIAMBRES";"Rubro31"
"MANTECA";"Rubro32"
"CAFE";"Rubro33"
"POSTRES SECOS";"Rubro34"
"POLLO CONGELADO";"Rubro35"
"CARNE DE CERDO";"Rubro36"
"CEREALES";"Rubro37"
"CARNES CONGELADAS";"Rubro38"
"POSTRE";"Rubro39"
"PAÑALES ALGODONES Y APÓSITOS";"Rubro40"
"RALLADOS";"Rubro41"
"TE";"Rubro42"
"QUESOS";"Rubro43"
"QUESO";"Rubro44"
"CARNES ELABORADA";"Rubro45"
"COCINA";"Rubro46"
"SNACKS";"Rubro47"
"GRANJA";"Rubro48"
"ARROZ";"Rubro49"
"EMBUTIDOS";"Rubro50"
"DULCES";"Rubro51"
"NAVIDAD";"Rubro52"
"FRUTAS";"Rubro53"
"ACEITES";"Rubro54"
"ADEREZOS";"Rubro55"
"YERBA MATE";"Rubro56"
"AZUCARES";"Rubro57"
"PASTAS FRESCAS";"Rubro58"
"HARINAS";"Rubro59"
"CARNE DE AVE";"Rubro60"
"CUIDADO DE LA ROPA";"Rubro61"
"ACCESORIOS DE LIMPIEZA";"Rubro62"
"SAL, CONDIMENTOS, CALDOS Y SABORIZADORES";"Rubro63"
"FIDEOS";"Rubro64"
"YOGUR";"Rubro65"
"VERDURAS";"Rubro66"
"PANADERIA";"Rubro67"
"CONSERVAS";"Rubro68"
"LECHE LIQUIDA";"Rubro69"
"GOLOSINAS";"Rubro70"
"HIGIENE Y CUIDADO PERSONAL";"Rubro71"
"BEBIDAS CON ALCOHOL";"Rubro72"
"HIGIENE Y CUIDADO DEL HOGAR";"Rubro73"
"GALLETAS";"Rubro74"
"CARNE VACUNA";"Rubro75"
"BEBIDAS SIN ALCOHOL";"Rubro76"
