"ACCESORIOS.DE.LIMPIEZA";"ACCESORIOS.DE.TOCADOR";"ACCESORIOS.VARIOS";"ACEITES";"ACETOS.Y.SALSAS";"ADEREZOS";"ALIMENTOS.BALANCEADOS";"ALIMENTOS.LIQUIDOS";"ARROZ";"ARTICULOS.P.BEBE";"AZUCARES";"BEBIDAS.CON.ALCOHOL";"BEBIDAS.SIN.ALCOHOL";"CACAO";"CAFE";"CARBON.Y.BRIQUETAS";"CARNE.DE.AVE";"CARNE.DE.CERDO";"CARNE.VACUNA";"CARNES.CONGELADAS";"CARNES.ELABORADA";"CEREALES";"COCINA";"CONSERVAS";"CREMA.DE.LECHE";"CUIDADO.DE.LA.ROPA";"DULCES";"EDULCORANTES";"EMBUTIDOS";"FIAMBRES";"FIDEOS";"FRUTAS";"GALLETAS";"GOLOSINAS";"GRANJA";"GRASAS";"HARINAS";"HIGIENE.Y.CUIDADO.DEL.HOGAR";"HIGIENE.Y.CUIDADO.PERSONAL";"LECHE.EN.POLVO";"LECHE.LIQUIDA";"LEGUMBRES.SECAS";"MANTECA";"MATE.COCIDO";"PANADERIA";"PASTAS.CONGELADAS";"PASTAS.FRESCAS";"PA.ALES.ALGODONES.Y.APàSITOS";"PEGAMENTOS";"PESCADO.CONGELADO";"PIZZA.CONGELADA";"POLLO.CONGELADO";"POSTRE";"POSTRES";"POSTRES.SECOS";"PURE";"QUESO";"QUESOS";"RALLADOS";"SAL..CONDIMENTOS..CALDOS.Y.SABORIZADORES";"SNACKS";"SOPAS";"TE";"TERMOS";"TOCADOR";"VARIOS";"VERDURAS";"VERDURAS.Y.LEGUMBRES.CONGELADAS";"VINAGRES";"YERBA.MATE";"YOGUR";"borrar...CUIDADO.PERSONAL";"CUBIERTOS";"ACCESORIOS.DEL.AUTOMOTOR";"Cigarrillos";"ACCESORIOS";"PAPAS.CONGELADAS";"FRUTAS.SECAS";"CARNE.DE.CORDERO";"NAVIDAD";"ESTACIONAL"
1;0;0.5;0.5;0.6;0.6;0.2;0;0.2;0.4;-0.4;0.6;0.5;0.4;-0.2;0.1;0.4;0.5;0.5;0.4;-0.3;0;-0.3;0.5;0.6;0.6;0;0.3;0.6;0.8;0.3;0.4;0.1;-0.3;0.3;0.3;0.1;0.7;0.6;0;0.3;0.1;-0.1;0;0;0.3;0.7;0.4;0;0.4;-0.3;0.4;0.3;0.1;0;0.2;0.5;0.7;0;0.5;-0.5;-0.1;-0.1;0;0.4;0.3;0.6;-0.1;0.5;0.5;0.3;0.5;0.2;0.4;-0.3;0;0.1;-0.2;0.5;0.5;0.1
0;1;-0.2;-0.2;0;-0.2;-0.7;0.2;-0.1;0.1;-0.1;0;0;-0.5;-0.3;0.6;-0.1;-0.1;0.4;-0.1;0.6;-0.1;0.5;-0.1;0.3;0;0;0.4;0.1;0;-0.2;-0.1;0.4;0.2;0;0;-0.3;-0.2;0;0;0.3;-0.3;-0.1;0;0.3;0.1;0;0.1;-0.6;-0.2;0.5;0;0.4;0.2;0;0.1;0.2;-0.1;0.1;-0.2;0.3;-0.1;-0.1;-0.1;0.1;-0.2;-0.3;0.6;-0.1;-0.2;0.1;-0.1;-0.2;0.3;0.3;-0.3;0.2;0;-0.2;-0.2;0.2
0.5;-0.2;1;0.8;0.5;0.6;0.7;0.4;0.8;0.6;-0.2;0.3;0.3;0.9;0;-0.5;0.9;-0.1;0.1;0.9;0;0.6;-0.8;0.9;0.6;0.8;0.6;0.3;0.6;0.7;0.9;0.3;0.4;-0.6;0.7;0.8;0.6;0.8;0.8;0.6;0.4;0.8;0.2;0.2;-0.6;0.7;0.8;0.8;0.4;0.6;-0.5;0.8;0.6;-0.2;0.7;-0.5;0.8;0.9;0.6;0.9;-0.8;0.1;0.1;0.1;0;-0.3;0.9;-0.3;0.5;0.9;0.6;0.8;0.5;0.1;-0.8;0.4;-0.6;-0.4;0;0.1;0.5
0.5;-0.2;0.8;1;0.3;0.3;0.7;0.2;0.8;0.8;-0.3;0.1;0;0.9;0.3;-0.6;0.7;-0.1;-0.1;0.7;-0.1;0.4;-0.7;0.7;0.4;0.7;0.6;0.4;0.4;0.5;0.8;0;0.4;-0.3;0.4;0.6;0.7;0.5;0.5;0.5;0.3;0.8;0.4;0.4;-0.6;0.7;0.7;0.8;0.1;0.4;-0.6;0.5;0.3;-0.5;0.4;-0.2;0.7;0.8;0.7;0.8;-0.5;0.4;0.4;0.5;0.1;-0.3;0.6;-0.5;0.2;0.8;0.3;0.4;0.4;0.3;-0.8;0.6;-0.6;-0.7;-0.2;-0.2;0.4
0.6;0;0.5;0.3;1;0.5;0.2;-0.1;0.2;0.2;-0.1;0.5;0.5;0.3;-0.2;0;0.3;0.4;0.2;0.5;-0.3;0.2;-0.4;0.5;0.5;0.4;0.1;0.2;0.4;0.6;0.3;0.5;0.1;-0.4;0.3;0.4;0.1;0.4;0.4;0.2;0.3;0.2;0;-0.1;-0.1;0.3;0.3;0.3;0.2;0;-0.3;0.2;0.2;0.1;0;-0.3;0.4;0.5;0.2;0.4;-0.5;0;-0.2;0;0.1;0.5;0.4;-0.2;0.6;0.3;0.3;0.3;0.2;0.2;-0.2;0.2;0.2;-0.1;0.5;0.5;0.3
0.6;-0.2;0.6;0.3;0.5;1;0.2;0.4;0.2;0;0.1;0.9;0.9;0.3;-0.5;0.1;0.7;0.6;0.6;0.7;0;0.4;-0.2;0.7;0.7;0.7;-0.1;-0.1;0.9;0.9;0.3;0.9;0;-0.7;0.7;0.6;0;0.9;0.9;0;0.4;0.2;-0.5;-0.4;0.2;0.1;0.6;0.2;0.6;0.6;-0.2;0.7;0.5;0.6;0.5;-0.2;0.3;0.7;-0.1;0.4;-0.7;-0.5;-0.6;-0.6;0.3;0.4;0.8;0.2;0.9;0.4;0.8;0.8;0.3;-0.3;0;0;0.2;0.4;0.7;0.8;0.2
0.2;-0.7;0.7;0.7;0.2;0.2;1;-0.1;0.8;0.5;-0.3;-0.1;-0.2;0.9;0.6;-0.8;0.6;-0.2;-0.4;0.5;-0.5;0.4;-0.8;0.6;0.1;0.5;0.7;0.2;0.1;0.1;0.8;-0.1;0.2;-0.1;0.4;0.5;0.9;0.4;0.3;0.6;0.1;0.9;0.7;0.5;-0.7;0.6;0.5;0.6;0.4;0.4;-0.8;0.3;0;-0.6;0.3;-0.5;0.5;0.5;0.5;0.8;-0.4;0.4;0.6;0.5;0.1;-0.4;0.5;-0.6;0;0.8;0.1;0.3;0.1;-0.2;-0.9;0.7;-0.5;-0.6;-0.2;-0.2;0.2
0;0.2;0.4;0.2;-0.1;0.4;-0.1;1;0.3;-0.1;0.5;0.2;0.5;0.1;-0.6;0.1;0.6;-0.3;0.4;0.6;0.6;0.5;-0.1;0.5;0.2;0.4;0;-0.1;0.5;0.4;0.3;0.4;0.2;-0.5;0.6;0.4;-0.1;0.5;0.6;0;0.6;0.1;-0.4;-0.3;0.1;0.3;0.3;0.1;0.3;0.5;0;0.7;0.7;0.4;0.8;-0.2;0.2;0.3;0.2;0.2;-0.5;-0.5;-0.5;-0.5;-0.2;-0.2;0.5;0.5;0.5;0.3;0.8;0.7;0.6;-0.2;0;-0.2;-0.3;0.3;-0.2;0;0.5
0.2;-0.1;0.8;0.8;0.2;0.2;0.8;0.3;1;0.7;-0.2;-0.1;-0.2;0.8;0.3;-0.7;0.8;-0.5;-0.3;0.8;0;0.8;-0.7;0.8;0.4;0.8;0.9;0.5;0.2;0.2;1;-0.1;0.7;-0.2;0.7;0.8;0.9;0.5;0.5;0.9;0.6;1;0.6;0.7;-0.6;0.7;0.7;0.9;0;0.6;-0.6;0.6;0.5;-0.5;0.7;-0.6;0.9;0.7;0.8;0.9;-0.5;0.3;0.4;0.3;0.1;-0.6;0.7;-0.2;0.1;0.9;0.4;0.4;0.2;-0.1;-0.9;0.6;-0.7;-0.6;-0.4;-0.4;0.4
0.4;0.1;0.6;0.8;0.2;0;0.5;-0.1;0.7;1;-0.5;-0.1;-0.3;0.6;0.5;-0.4;0.4;-0.2;-0.2;0.4;0;0.2;-0.4;0.4;0.5;0.6;0.8;0.5;0.2;0.2;0.7;-0.4;0.6;0.1;0.2;0.5;0.7;0.2;0.3;0.7;0.2;0.7;0.6;0.6;-0.5;0.6;0.6;0.9;-0.3;0.2;-0.3;0.3;0.3;-0.6;0.2;-0.3;0.8;0.7;0.8;0.7;-0.2;0.7;0.6;0.6;0.3;-0.5;0.3;-0.4;-0.2;0.6;0;0.1;-0.1;0.3;-0.7;0.5;-0.4;-0.8;-0.4;-0.4;0.4
